epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.23799929022789001,0.13602279126644135,0.979758620262146,1e-04,0.23759834468364716,0.16766193509101868,0.23005440831184387,0.1314658373594284,1.0790505409240723,0.28851503133773804,0.6013035774230957
1,0.2569954991340637,0.1483677476644516,0.8493756651878357,1e-04,0.32876917719841003,0.09641798585653305,0.22793059051036835,0.12985822558403015,0.9606858491897583,0.11386648565530777,0.003348748432472348
2,0.26590290665626526,0.15419162809848785,0.7737995982170105,1e-04,0.361169695854187,0.051231224089860916,0.243941992521286,0.14006417989730835,0.8401980996131897,0.19684825837612152,0.003798034507781267
3,0.2715426981449127,0.1579224169254303,0.7210321426391602,1e-04,0.40684613585472107,0.027476778253912926,0.2646045982837677,0.15372492372989655,0.7870844006538391,0.3944074213504791,0.07420220226049423
4,0.3057636022567749,0.1817035973072052,0.6623255610466003,1e-04,0.6798232197761536,0.08566716313362122,0.26674583554267883,0.15520785748958588,0.7479326725006104,0.34685176610946655,0.007649356499314308
5,0.4321393072605133,0.27907705307006836,0.5670933723449707,1e-04,0.7937606573104858,0.5909274220466614,0.2806170880794525,0.16451002657413483,0.7287197113037109,0.2831774652004242,0.2827022671699524
6,0.5680793523788452,0.4001680314540863,0.48411667346954346,1e-04,0.8373271226882935,0.791476845741272,0.30985501408576965,0.18536479771137238,0.8008840680122375,0.25912797451019287,0.739610493183136
7,0.6425307989120483,0.4764714539051056,0.432437002658844,1e-04,0.8776712417602539,0.8373734951019287,0.2961101830005646,0.17483177781105042,0.6905725002288818,0.3104405403137207,0.33994340896606445
8,0.6927427053451538,0.533180296421051,0.39505720138549805,1e-04,0.9013816118240356,0.8640819787979126,0.26915767788887024,0.16198508441448212,17.677867889404297,0.20892608165740967,0.5221853256225586
9,0.72533118724823,0.5721333026885986,0.3701426386833191,1e-04,0.9115918874740601,0.8742625117301941,0.3084176182746887,0.18441469967365265,0.7932215929031372,0.2528364658355713,0.6146755814552307
10,0.7533154487609863,0.6072375178337097,0.3472546935081482,1e-04,0.9224647283554077,0.8866294026374817,0.01920126937329769,0.00969602633267641,0.976087212562561,0.0,0.0
11,0.7770536541938782,0.6380767226219177,0.32713472843170166,1e-04,0.9322399497032166,0.8961765170097351,0.32175412774086,0.19408434629440308,0.7763593196868896,0.26184654235839844,0.6485015749931335
